id,proper,x,y,z,mag,ci
60893,Gacrux,-14.606901,-1.998688,-22.800748,1.59,1.6
42327,Gakyid,-50.568104,60.659599,18.174814,8.23,0.962
62257,Gar,-8.06968,-1.713193,1.417736,11.39,1.563
106916,Garnet Star,42908.717258,-29076.600569,85518.379993,4.23,2.242
56044,Giausar,-35.773586,4.486959,95.570558,3.82,1.613
59621,Gienah,-44.805937,-3.095058,-14.197066,2.58,-0.107
60075,Ginan,-34.656852,-3.239447,-61.275879,3.59,1.389
36087,Gomeisa,-18.209817,45.556204,7.147858,2.89,-0.097
119058,Graffias,-11.530023,-20.879358,-4.798287,4.84,0.45
57767,Groombridge 1830,-7.187679,0.220247,5.561623,6.42,0.754
1472,Groombridge 34,2.571275,0.20667,2.493057,8.09,1.56
87314,Grumium,-0.532395,-18.850278,28.897629,3.73,1.177
77214,Gudja,-60.303137,-93.518027,36.45959,4.09,1.616
94350,Gumala,8.135614,-23.777829,-11.28349,6.25,0.548
84147,Guniibuu,-1.027046,-5.204798,-2.656955,4.33,0.855
119135,Guniibuu B,-1.036233,-5.250282,-2.680239,5.07,0.85
68483,Hadar,-50.954051,-30.56287,-104.478695,0.61,-0.231
23712,Haedus,12.978524,54.599524,49.18977,3.18,-0.148
9861,Hamal,15.731986,9.751722,8.03361,2.01,1.151
22961,Hassaleh,34.378539,121.884168,82.763748,2.69,1.49
26176,Hatysa,76.014147,706.411475,-73.54604,2.75,-0.21
112997,Helvetios,14.053522,-3.93265,5.534429,5.45,0.666
67251,Heng,-88.774682,-45.96956,-89.0322,3.41,-0.225
66040,Heze,-20.799365,-9.118725,-0.236175,3.38,0.114
29198,Hoerikwaggo,-0.119802,2.679222,-9.839152,5.08,0.714
21057,Hoggar,85.200384,209.362436,18.088209,8.38,1.008
111676,Homam,57.962157,-20.678728,11.774377,3.41,-0.086
114208,Honores,15.657659,-3.288881,18.670848,4.53,0.302
55011,Hunahpú,-120.572962,22.459787,-54.542905,8.05,0.962
79834,Hunor,-36.260076,-78.299814,75.136419,8.72,0.463
77868,Iklil,-64.636099,-108.519131,-70.633018,3.87,-0.199
46954,Illyrian,-83.307172,60.663459,71.573083,7.62,0.864
59565,Imai,-54.778605,-3.62525,-90.466,2.79,-0.193
84529,Inquill,-6.321012,-35.717587,-41.069892,6.67,0.614
15539,Intan,24.611899,29.516952,-25.659946,9.92,1.037
46339,Intercrus,-47.431774,36.836132,61.329924,5.4,0.993
108030,Itonda,31.177482,-18.487777,-28.079086,7.47,0.568
71879,Izar,-41.582771,-36.462926,28.269741,2.35,0.966
79134,Jabbah,-62.219516,-122.106847,-48.424462,4.0,0.076
37159,Jishui,-17.604251,38.11415,28.945417,4.89,0.413
118515,Kaewkosin,-11.134861,19.461351,6.172756,12.33,
12673,Kaffaljidhma,18.440324,15.931398,1.377729,3.47,0.093
